Date,Time,Currency,Impact,Title,Actual,Forecast,Previous,Alerts
01-04-2018,5:00,EUR,L,Final Services PMI,56.6,56.5,56.5,
01-04-2018,5:30,GBP,H,Services PMI,54.2,54.1,53.8,
01-04-2018,5:30,GBP,L,M4 Money Supply m/m,0.10%,0.40%,0.60%,
01-04-2018,5:30,GBP,L,Mortgage Approvals,65K,64K,65K,
01-04-2018,5:30,GBP,M,Net Lending to Individuals m/m,4.9B,4.9B,4.7B,4.8B
01-04-2018,5:51,EUR,L,Spanish 10-y Bond Auction,1.53|1.8,,1.49|2.0,
01-04-2018,6:01,EUR,L,French 10-y Bond Auction,0.79|1.4,,0.36|1.9,
01-04-2018,8:30,USD,L,Challenger Job Cuts y/y,-3.60%,,30.10%,
01-04-2018,9:15,USD,H,ADP Non-Farm Employment Change,250K,191K,185K,190K
01-04-2018,9:30,CAD,L,IPPI m/m,1.40%,0.80%,1.10%,1.00%
01-04-2018,9:30,CAD,M,RMPI m/m,5.50%,4.00%,3.80%,
01-04-2018,9:30,USD,H,Unemployment Claims,250K,241K,247K,245K
01-04-2018,10:45,USD,L,Final Services PMI,53.7,52.4,52.4,
01-04-2018,11:30,USD,L,Natural Gas Storage,-206B,-221B,-112B,
01-04-2018,12:00,USD,H,Crude Oil Inventories,-7.4M,-5.2M,-4.6M,
01-04-2018,19:50,JPY,L,Monetary Base y/y,11.20%,13.10%,13.20%,
01-04-2018,20:01,GBP,L,BRC Shop Price Index y/y,-0.60%,,-0.10%,
01-04-2018,20:30,AUD,H,Trade Balance,-0.63B,0.55B,-0.30B,0.11B
01-05-2018,3:00,EUR,M,German Retail Sales m/m,2.30%,1.00%,-1.00%,-1.20%
01-05-2018,3:45,EUR,L,French Prelim CPI m/m,0.30%,0.30%,0.10%,
01-05-2018,5:10,EUR,L,Retail PMI,53,,52.4,
01-05-2018,6:00,EUR,H,CPI Flash Estimate y/y,1.40%,1.40%,1.50%,
01-05-2018,6:00,EUR,L,Italian Prelim CPI m/m,0.40%,0.20%,-0.20%,
01-05-2018,6:00,EUR,L,PPI m/m,0.60%,0.30%,0.40%,
01-05-2018,6:00,EUR,M,Core CPI Flash Estimate y/y,0.90%,1.00%,0.90%,
01-05-2018,9:30,CAD,H,Employment Change,78.6K,1.8K,79.5K,
01-05-2018,9:30,CAD,H,Trade Balance,-2.5B,-1.2B,-1.6B,-1.5B
01-05-2018,9:30,CAD,H,Unemployment Rate,5.70%,6.00%,5.90%,
01-05-2018,9:30,USD,H,Average Hourly Earnings m/m,0.30%,0.30%,0.10%,0.20%
01-05-2018,9:30,USD,H,Non-Farm Employment Change,148K,190K,252K,228K
01-05-2018,9:30,USD,H,Unemployment Rate,4.10%,4.10%,4.10%,
01-05-2018,9:30,USD,L,Trade Balance,-50.5B,-49.7B,-48.9B,-48.7B
01-05-2018,11:00,CAD,M,Ivey PMI,60.4,62.2,63,
01-05-2018,11:00,USD,H,ISM Non-Manufacturing PMI,55.9,57.6,57.4,
01-05-2018,11:00,USD,L,Factory Orders m/m,1.30%,1.10%,0.40%,-0.10%
01-05-2018,13:30,USD,M,FOMC Member Mester Speaks,,,,
01-06-2018,11:15,USD,M,FOMC Member Mester Speaks,,,,
01-07-2018,0:01,JPY,N,Bank Holiday [All Day],,,,
01-07-2018,9:00,USD,M,FOMC Member Williams Speaks,,,,
01-07-2018,18:30,AUD,L,AIG Construction Index,52.8,,57.5,
01-08-2018,3:00,EUR,L,German Factory Orders m/m,-0.40%,0.10%,0.70%,0.50%
01-08-2018,4:15,CHF,L,CPI m/m,0.00%,-0.10%,-0.10%,
01-08-2018,4:30,GBP,M,Halifax HPI m/m,-0.60%,0.20%,0.30%,0.50%
01-08-2018,5:30,EUR,L,Sentix Investor Confidence,32.9,31.5,31.1,
01-08-2018,6:00,EUR,L,Retail Sales m/m,1.50%,1.40%,-1.10%,
01-08-2018,11:30,CAD,H,BOC Business Outlook Survey,,,,
01-08-2018,13:40,USD,M,FOMC Member Bostic Speaks,,,,
01-08-2018,14:35,USD,M,FOMC Member Williams Speaks,,,,
01-08-2018,16:00,USD,L,Consumer Credit m/m,28.0B,17.8B,20.5B,
01-08-2018,20:00,JPY,L,Average Cash Earnings y/y,0.90%,0.60%,0.20%,0.60%
01-08-2018,20:01,GBP,L,BRC Retail Sales Monitor y/y,0.60%,,0.60%,
01-08-2018,20:30,AUD,L,ANZ Job Advertisements m/m,-2.30%,,1.10%,1.50%
01-08-2018,20:30,AUD,M,Building Approvals m/m,11.70%,-0.90%,-0.10%,0.90%
01-09-2018,1:00,JPY,L,Consumer Confidence,44.7,45.1,44.9,
01-09-2018,2:45,CHF,L,Unemployment Rate,3.00%,3.00%,3.10%,3.00%
01-09-2018,3:00,EUR,L,German Industrial Production m/m,3.40%,1.90%,-1.20%,-1.40%
01-09-2018,3:00,EUR,L,German Trade Balance,22.3B,20.7B,19.9B,
01-09-2018,3:45,EUR,L,French Trade Balance,-5.7B,-4.8B,-5.3B,-5.0B
01-09-2018,4:00,CHF,L,Foreign Currency Reserves,744B,,738B,
01-09-2018,4:15,CHF,L,Retail Sales y/y,-0.20%,-2.50%,-2.60%,-3.00%
01-09-2018,5:00,EUR,L,Italian Monthly Unemployment Rate,11.00%,11.00%,11.10%,
01-09-2018,6:00,EUR,L,Unemployment Rate,8.70%,8.70%,8.80%,
01-09-2018,6:37,GBP,L,10-y Bond Auction,1.29|2.4,,1.34|2.3,
01-09-2018,7:00,USD,L,NFIB Small Business Index,104.9,108.4,107.5,
01-09-2018,9:13,CAD,L,Housing Starts,217K,240K,252K,
01-09-2018,11:00,USD,L,JOLTS Job Openings,5.88M,6.05M,5.93M,6.00M
01-09-2018,21:30,CNY,M,CPI y/y,1.80%,1.90%,1.70%,
01-09-2018,21:30,CNY,M,PPI y/y,4.90%,4.80%,5.80%,
01-09-2018,23:45,JPY,L,10-y Bond Auction,0.08|3.7,,0.06|3.7,
01-10-2018,3:45,EUR,L,French Industrial Production m/m,-0.50%,-0.40%,1.70%,1.90%
01-10-2018,5:30,GBP,H,Manufacturing Production m/m,0.40%,0.30%,0.30%,0.10%
01-10-2018,5:30,GBP,L,Construction Output m/m,0.40%,0.70%,-1.10%,-1.70%
01-10-2018,5:30,GBP,L,Industrial Production m/m,0.40%,0.40%,0.20%,0.00%
01-10-2018,5:30,GBP,M,Goods Trade Balance,-12.2B,-10.9B,-11.7B,-10.8B
01-10-2018,6:32,EUR,L,German 10-y Bond Auction,0.54|1.1,,0.30|1.1,
01-10-2018,8:13,GBP,L,NIESR GDP Estimate,0.60%,,0.60%,0.50%
01-10-2018,9:30,CAD,M,Building Permits m/m,-7.70%,-0.70%,4.40%,3.50%
01-10-2018,9:30,USD,M,Import Prices m/m,0.10%,0.40%,0.80%,0.70%
01-10-2018,11:00,USD,L,Final Wholesale Inventories m/m,0.80%,0.70%,0.70%,
01-10-2018,11:30,USD,H,Crude Oil Inventories,-4.9M,-3.9M,-7.4M,
01-10-2018,14:01,USD,L,10-y Bond Auction,2.58|2.7,,2.38|2.4,
01-10-2018,20:30,AUD,H,Retail Sales m/m,1.20%,0.40%,0.50%,
01-11-2018,1:00,JPY,L,Leading Indicators,108.60%,108.70%,106.50%,106.10%
01-11-2018,5:03,EUR,L,Italian Retail Sales m/m,1.10%,0.80%,-1.00%,
01-11-2018,5:30,GBP,M,BOE Credit Conditions Survey,,,,
01-11-2018,6:00,EUR,L,Industrial Production m/m,1.00%,0.80%,0.40%,0.20%
01-11-2018,8:30,EUR,M,ECB Monetary Policy Meeting Accounts,,,,
01-11-2018,9:30,CAD,M,NHPI m/m,0.10%,0.20%,0.10%,
01-11-2018,9:30,USD,H,PPI m/m,-0.10%,0.20%,0.40%,
01-11-2018,9:30,USD,M,Core PPI m/m,-0.10%,0.20%,0.30%,
01-11-2018,9:30,USD,M,Unemployment Claims,261K,246K,250K,
01-11-2018,11:30,USD,L,Natural Gas Storage,-359B,-318B,-206B,
01-11-2018,14:01,USD,L,30-y Bond Auction,2.87|2.7,,2.80|2.5,
01-11-2018,15:00,USD,L,Federal Budget Balance,-23.2B,-34.5B,-138.5B,
01-11-2018,16:30,USD,M,FOMC Member Dudley Speaks,,,,
01-11-2018,17:45,NZD,L,Building Consents m/m,10.80%,,-10.40%,-9.60%
01-11-2018,19:50,JPY,L,Bank Lending y/y,2.50%,2.70%,2.70%,
01-11-2018,19:50,JPY,L,Current Account,1.70T,2.19T,2.44T,
01-11-2018,23:03,CNY,L,USD-Denominated Trade Balance,54.7B,36.9B,40.2B,
01-11-2018,23:07,CNY,M,Trade Balance,362B,237B,264B,
01-12-2018,1:00,JPY,L,Economy Watchers Sentiment,53.9,55.2,55.1,
01-12-2018,3:45,EUR,L,French Final CPI m/m,0.30%,0.30%,0.30%,
01-12-2018,4:00,CNY,L,M2 Money Supply y/y,8.20%,9.20%,9.10%,
01-12-2018,4:00,CNY,L,New Loans,584B,997B,1120B,
01-12-2018,5:00,EUR,L,Italian Industrial Production m/m,0.00%,0.60%,0.60%,0.50%
01-12-2018,9:30,USD,H,Core CPI m/m,0.30%,0.20%,0.10%,
01-12-2018,9:30,USD,H,Core Retail Sales m/m,0.40%,0.30%,1.30%,1.00%
01-12-2018,9:30,USD,H,CPI m/m,0.10%,0.10%,0.40%,
01-12-2018,9:30,USD,H,Retail Sales m/m,0.40%,0.50%,0.90%,0.80%
01-12-2018,10:59,USD,L,IBD/TIPP Economic Optimism,55.1,52.3,51.9,
01-12-2018,11:00,USD,L,Business Inventories m/m,0.40%,0.40%,0.00%,-0.10%
01-12-2018,12:30,EUR,M,German Buba President Weidmann Speaks,,,,
01-14-2018,17:45,NZD,L,FPI m/m,-0.80%,,-0.40%,
01-14-2018,19:50,JPY,L,M2 Money Stock y/y,3.60%,4.00%,4.00%,
01-14-2018,20:01,GBP,L,Rightmove HPI m/m,0.70%,,-2.60%,
01-14-2018,20:29,AUD,L,MI Inflation Gauge m/m,0.10%,,0.20%,
01-15-2018,0:01,USD,N,Bank Holiday [All Day],,,,
01-15-2018,2:00,JPY,L,Prelim Machine Tool Orders y/y,48.30%,,46.80%,46.90%
01-15-2018,6:00,EUR,L,Trade Balance,22.5B,22.4B,19.0B,
01-15-2018,14:15,GBP,M,MPC Member Tenreyro Speaks,,,,
01-15-2018,17:00,NZD,M,NZIER Business Confidence,-12,,5,
01-15-2018,19:50,JPY,L,PPI y/y,3.10%,3.30%,3.60%,3.50%
01-15-2018,20:30,AUD,L,New Motor Vehicle Sales m/m,4.50%,,0.20%,0.10%
01-16-2018,0:30,JPY,L,Tertiary Industry Activity m/m,1.10%,0.40%,0.20%,0.30%
01-16-2018,3:00,EUR,L,German Final CPI m/m,0.60%,0.60%,0.60%,
01-16-2018,3:00,EUR,L,German WPI m/m,-0.30%,0.30%,0.50%,
01-16-2018,3:16,CNY,L,Foreign Direct Investment ytd/y,7.90%,,9.80%,
01-16-2018,4:00,EUR,L,French Gov Budget Balance,-84.7B,,-77.1B,
01-16-2018,5:30,GBP,H,CPI y/y,3.00%,3.00%,3.10%,
01-16-2018,5:30,GBP,L,Core CPI y/y,2.50%,2.60%,2.70%,
01-16-2018,5:30,GBP,L,HPI y/y,5.10%,4.20%,5.40%,4.50%
01-16-2018,5:30,GBP,L,PPI Output m/m,0.40%,0.20%,0.40%,0.30%
01-16-2018,5:30,GBP,M,PPI Input m/m,0.10%,0.50%,1.60%,1.80%
01-16-2018,5:30,GBP,M,RPI y/y,4.10%,3.90%,3.90%,
01-16-2018,6:07,EUR,L,Italian Trade Balance,4.83B,5.22B,4.99B,4.95B
01-16-2018,9:30,USD,M,Empire State Manufacturing Index,17.7,18.5,18,
01-16-2018,10:21,NZD,M,GDT Price Index,4.90%,,2.20%,
01-16-2018,10:30,GBP,L,CB Leading Index m/m,-0.20%,,-0.20%,
01-16-2018,13:00,CHF,H,SNB Chairman Jordan Speaks,,,,
01-16-2018,19:30,AUD,L,Westpac Consumer Sentiment,1.80%,,3.60%,
01-16-2018,19:50,JPY,L,Core Machinery Orders m/m,5.70%,-1.30%,5.00%,
01-16-2018,20:00,NZD,L,ANZ Commodity Prices m/m,-2.20%,,-0.90%,
01-16-2018,20:30,AUD,L,Home Loans m/m,2.10%,-0.10%,-0.60%,
01-17-2018,6:00,EUR,L,Final Core CPI y/y,0.90%,0.90%,0.90%,
01-17-2018,6:00,EUR,M,Final CPI y/y,1.40%,1.40%,1.50%,
01-17-2018,6:32,EUR,L,German 30-y Bond Auction,1.28|1.4,,1.20|1.7,
01-17-2018,7:45,GBP,M,MPC Member Saunders Speaks,,,,
01-17-2018,10:15,USD,M,Capacity Utilization Rate,77.90%,77.30%,77.20%,77.10%
01-17-2018,10:15,USD,M,Industrial Production m/m,0.90%,0.40%,-0.10%,0.20%
01-17-2018,11:00,CAD,H,BOC Monetary Policy Report,,,,
01-17-2018,11:00,CAD,H,BOC Rate Statement,,,,
01-17-2018,11:00,CAD,H,Overnight Rate,1.25%,1.25%,1.00%,
01-17-2018,11:00,USD,L,NAHB Housing Market Index,72,73,74,
01-17-2018,12:15,CAD,H,BOC Press Conference,,,,
01-17-2018,15:00,USD,L,Beige Book,,,,
01-17-2018,17:00,USD,L,TIC Long-Term Purchases,57.5B,50.1B,26.2B,23.2B
01-17-2018,17:30,USD,M,FOMC Member Mester Speaks,,,,
01-17-2018,20:00,AUD,L,MI Inflation Expectations,3.70%,,3.70%,
01-17-2018,20:01,GBP,L,RICS House Price Balance,8%,-1%,0%,
01-17-2018,20:18,AUD,L,HIA New Home Sales m/m,0.70%,,1.60%,
01-17-2018,20:30,AUD,H,Employment Change,34.7K,13.2K,63.6K,61.6K
01-17-2018,20:30,AUD,H,Unemployment Rate,5.50%,5.40%,5.40%,
01-17-2018,23:45,JPY,L,30-y Bond Auction,0.83|3.8,,0.85|4.4,
01-18-2018,0:30,JPY,L,Revised Industrial Production m/m,0.50%,0.60%,0.60%,
01-18-2018,3:00,CNY,H,GDP q/y,6.80%,6.70%,6.80%,
01-18-2018,3:00,CNY,L,Retail Sales y/y,9.40%,10.10%,10.20%,
01-18-2018,3:00,CNY,M,Fixed Asset Investment ytd/y,7.20%,7.10%,7.20%,
01-18-2018,3:00,CNY,M,Industrial Production y/y,6.20%,6.10%,6.10%,
01-18-2018,3:00,CNY,M,NBS Press Conference,,,,
01-18-2018,4:00,EUR,M,German Buba President Weidmann Speaks,,,,
01-18-2018,9:30,USD,H,Building Permits,1.30M,1.29M,1.30M,
01-18-2018,9:30,USD,M,Housing Starts,1.19M,1.28M,1.30M,
01-18-2018,9:30,USD,M,Philly Fed Manufacturing Index,22.2,24.9,26.2,
01-18-2018,9:30,USD,M,Unemployment Claims,220K,250K,261K,
01-18-2018,9:32,CAD,L,ADP Non-Farm Employment Change,-7.1K,,59.2K,
01-18-2018,11:30,USD,L,Natural Gas Storage,-183B,-201B,-359B,
01-18-2018,12:00,USD,H,Crude Oil Inventories,-6.9M,-1.4M,-4.9M,
01-18-2018,17:30,NZD,M,Business NZ Manufacturing Index,51.2,,57.7,
01-19-2018,3:00,EUR,L,German PPI m/m,0.20%,0.20%,0.10%,
01-19-2018,4:15,CHF,M,PPI m/m,0.20%,0.40%,0.60%,
01-19-2018,5:00,EUR,L,Current Account,32.5B,31.3B,30.3B,30.8B
01-19-2018,5:29,GBP,H,Retail Sales m/m,-1.50%,-0.80%,1.00%,1.10%
01-19-2018,9:30,CAD,M,Foreign Securities Purchases,19.56B,15.76B,20.77B,20.81B
01-19-2018,9:30,CAD,M,Manufacturing Sales m/m,3.40%,1.90%,-0.60%,-0.40%
01-19-2018,9:55,USD,M,FOMC Member Bostic Speaks,,,,
01-19-2018,11:00,USD,L,Prelim UoM Inflation Expectations,2.80%,,2.70%,2.80%
01-19-2018,11:00,USD,M,Prelim UoM Consumer Sentiment,94.4,97,95.9,96.8
01-19-2018,13:15,USD,M,FOMC Member Quarles Speaks,,,,
01-19-2018,14:30,USD,M,FOMC Member Williams Speaks,,,,
01-22-2018,0:01,EUR,L,Eurogroup Meetings [All Day],,,,
01-22-2018,7:00,EUR,L,German Buba Monthly Report,,,,
01-22-2018,9:30,CAD,M,Wholesale Sales m/m,0.70%,1.00%,1.60%,1.50%
01-22-2018,23:14,JPY,H,BOJ Outlook Report,,,,
01-22-2018,23:14,JPY,H,Monetary Policy Statement,,,,
01-22-2018,23:14,JPY,M,BOJ Policy Rate,-0.10%,-0.10%,-0.10%,
01-23-2018,0:01,All,M,WEF Annual Meetings [Day 1],,,,
01-23-2018,0:01,EUR,L,ECOFIN Meetings [All Day],,,,
01-23-2018,0:30,JPY,L,All Industries Activity m/m,1.00%,0.90%,0.30%,
01-23-2018,2:30,JPY,H,BOJ Press Conference,,,,
01-23-2018,5:30,GBP,M,Public Sector Net Borrowing,1.0B,4.2B,6.6B,8.1B
01-23-2018,6:00,EUR,L,ZEW Economic Sentiment,31.8,29.7,29,
01-23-2018,6:00,EUR,M,German ZEW Economic Sentiment,20.4,17.8,17.4,
01-23-2018,7:00,GBP,L,CBI Industrial Order Expectations,14,13,17,
01-23-2018,10:59,USD,L,Richmond Manufacturing Index,14,19,20,
01-23-2018,11:00,EUR,L,Consumer Confidence,1,1,1,
01-23-2018,19:30,AUD,L,MI Leading Index m/m,0.30%,,0.10%,
01-23-2018,19:50,JPY,L,Trade Balance,0.09T,0.27T,0.29T,0.36T
01-23-2018,20:30,JPY,L,Flash Manufacturing PMI,54.4,54.3,54,54.2
01-23-2018,22:00,NZD,L,Credit Card Spending y/y,6.30%,,9.10%,
01-24-2018,0:01,All,M,WEF Annual Meetings [Day 2],,,,
01-24-2018,4:00,EUR,M,French Flash Manufacturing PMI,58.1,58.7,58.8,59.3
01-24-2018,4:00,EUR,M,French Flash Services PMI,59.3,58.9,59.1,59.4
01-24-2018,4:30,EUR,M,German Flash Manufacturing PMI,61.2,63.2,63.3,
01-24-2018,4:30,EUR,M,German Flash Services PMI,57,55.6,55.8,
01-24-2018,5:00,EUR,M,Flash Manufacturing PMI,59.6,60.4,60.6,
01-24-2018,5:00,EUR,M,Flash Services PMI,57.6,56.5,56.6,56.5
01-24-2018,5:30,GBP,H,Average Earnings Index 3m/y,2.50%,2.50%,2.50%,
01-24-2018,5:30,GBP,M,Claimant Count Change,8.6K,2.3K,12.2K,5.9K
01-24-2018,5:30,GBP,M,Unemployment Rate,4.30%,4.30%,4.30%,
01-24-2018,10:00,USD,L,HPI m/m,0.40%,0.40%,0.60%,0.50%
01-24-2018,10:45,USD,L,Flash Manufacturing PMI,55.5,55.2,55.1,55
01-24-2018,10:45,USD,L,Flash Services PMI,53.3,54.5,53.7,52.4
01-24-2018,11:00,USD,M,Existing Home Sales,5.57M,5.72M,5.78M,5.81M
01-24-2018,11:30,AUD,L,CB Leading Index m/m,0.30%,,0.30%,
01-24-2018,11:30,USD,H,Crude Oil Inventories,-1.1M,-1.0M,-6.9M,
01-24-2018,17:45,NZD,H,CPI q/q,0.10%,0.40%,0.50%,
01-25-2018,0:01,All,M,WEF Annual Meetings [Day 3],,,,
01-25-2018,0:01,AUD,N,Bank Holiday [All Day],,,,
01-25-2018,3:00,EUR,L,German GfK Consumer Climate,11,10.8,10.8,
01-25-2018,4:00,EUR,M,Spanish Unemployment Rate,16.60%,16.10%,16.40%,
01-25-2018,5:00,EUR,M,German Ifo Business Climate,117.6,117.1,117.2,
01-25-2018,5:30,GBP,L,High Street Lending,36.1K,39.9K,39.0K,39.5K
01-25-2018,7:00,GBP,L,CBI Realized Sales,12,12,20,
01-25-2018,8:45,EUR,H,Minimum Bid Rate,0.00%,0.00%,0.00%,
01-25-2018,9:30,CAD,H,Core Retail Sales m/m,1.60%,0.80%,0.80%,
01-25-2018,9:30,CAD,M,Retail Sales m/m,0.20%,0.70%,1.60%,1.50%
01-25-2018,9:30,EUR,H,ECB Press Conference,,,,
01-25-2018,9:30,USD,M,Unemployment Claims,233K,239K,216K,220K
01-25-2018,10:00,EUR,L,Belgian NBB Business Climate,1.8,0.4,0.1,
01-25-2018,11:00,USD,L,CB Leading Index m/m,0.60%,0.50%,0.40%,
01-25-2018,11:00,USD,M,New Home Sales,625K,679K,689K,733K
01-25-2018,11:30,USD,L,Natural Gas Storage,-288B,-270B,-183B,
01-25-2018,19:30,JPY,L,National Core CPI y/y,0.90%,0.90%,0.90%,
01-25-2018,19:30,JPY,L,Tokyo Core CPI y/y,0.70%,0.80%,0.80%,
01-25-2018,19:50,JPY,L,Monetary Policy Meeting Minutes,,,,
01-25-2018,19:50,JPY,L,SPPI y/y,0.80%,0.80%,0.80%,
01-26-2018,0:01,All,M,WEF Annual Meetings [Day 4],,,,
01-26-2018,5:00,EUR,L,Private Loans y/y,2.80%,2.90%,2.80%,
01-26-2018,5:00,EUR,M,M3 Money Supply y/y,4.60%,4.90%,4.90%,
01-26-2018,5:30,GBP,H,Prelim GDP q/q,0.50%,0.40%,0.40%,
01-26-2018,5:30,GBP,L,Index of Services 3m-3m,0.40%,0.40%,0.30%,
01-26-2018,9:07,USD,H,President Trump Speaks,,,,
01-26-2018,9:30,CAD,H,CPI m/m,-0.40%,-0.30%,0.30%,
01-26-2018,9:30,CAD,M,Common CPI y/y,1.60%,,1.50%,
01-26-2018,9:30,CAD,M,Median CPI y/y,1.90%,,1.90%,
01-26-2018,9:30,CAD,M,Trimmed CPI y/y,1.90%,,1.80%,
01-26-2018,9:30,USD,H,Advance GDP q/q,2.60%,3.00%,3.20%,3.00%
01-26-2018,9:30,USD,H,Core Durable Goods Orders m/m,0.60%,0.50%,0.30%,-0.10%
01-26-2018,9:30,USD,L,Goods Trade Balance,-71.6B,-68.6B,-70.0B,-69.7B
01-26-2018,9:30,USD,L,Prelim Wholesale Inventories m/m,0.20%,0.40%,0.80%,0.70%
01-26-2018,9:30,USD,M,Advance GDP Price Index q/q,2.40%,2.30%,2.10%,2.20%
01-26-2018,9:30,USD,M,Durable Goods Orders m/m,2.90%,0.90%,1.70%,1.30%
01-26-2018,9:33,CAD,L,Core CPI m/m,-0.50%,,-0.10%,
01-26-2018,10:00,CNY,L,CB Leading Index m/m,1.70%,,1.90%,1.80%
01-26-2018,10:00,GBP,H,BOE Gov Carney Speaks,,,,
01-26-2018,10:00,JPY,H,BOJ Gov Kuroda Speaks,,,,
01-29-2018,3:00,EUR,L,German Import Prices m/m,0.30%,0.30%,0.80%,
01-29-2018,9:30,USD,L,Personal Income m/m,0.40%,0.30%,0.30%,
01-29-2018,9:30,USD,M,Core PCE Price Index m/m,0.20%,0.20%,0.10%,
01-29-2018,9:30,USD,M,Personal Spending m/m,0.40%,0.50%,0.80%,0.60%
01-29-2018,17:45,NZD,M,Trade Balance,640M,-125M,-1233M,-1193M
01-29-2018,19:30,JPY,L,Household Spending y/y,-0.10%,1.60%,1.70%,
01-29-2018,19:30,JPY,L,Unemployment Rate,2.80%,2.70%,2.70%,
01-29-2018,19:50,JPY,L,Retail Sales y/y,3.60%,2.10%,2.10%,2.20%
01-29-2018,20:30,AUD,M,NAB Business Confidence,11,,7,6
01-30-2018,0:01,EUR,M,German Prelim CPI m/m [All Day],-0.70%,-0.50%,0.60%,
01-30-2018,1:00,JPY,L,BOJ Core CPI y/y,0.70%,0.50%,0.60%,
01-30-2018,2:30,EUR,L,French Flash GDP q/q,0.60%,0.50%,0.60%,0.50%
01-30-2018,3:00,CHF,L,Trade Balance,2.63B,2.54B,2.58B,2.63B
01-30-2018,3:45,EUR,L,French Consumer Spending m/m,-1.20%,0.40%,3.00%,2.20%
01-30-2018,4:00,CHF,M,KOF Economic Barometer,106.9,110.9,111.4,111.3
01-30-2018,4:00,EUR,M,Spanish Flash GDP q/q,0.70%,0.70%,0.80%,
01-30-2018,5:30,GBP,L,M4 Money Supply m/m,-0.60%,0.20%,0.20%,0.10%
01-30-2018,5:30,GBP,L,Mortgage Approvals,61K,66K,65K,
01-30-2018,5:30,GBP,M,Net Lending to Individuals m/m,5.2B,4.8B,5.2B,4.9B
01-30-2018,6:00,EUR,M,Prelim Flash GDP q/q,0.60%,0.60%,0.60%,
01-30-2018,6:15,EUR,L,Italian 10-y Bond Auction,2.06|1.3,,1.86|1.8,
01-30-2018,10:00,USD,L,S+P/CS Composite-20 HPI y/y,6.40%,6.30%,6.30%,6.40%
01-30-2018,11:00,USD,H,CB Consumer Confidence,125.4,123.2,123.1,122.1
01-30-2018,11:30,GBP,H,BOE Gov Carney Speaks,,,,
01-30-2018,19:50,JPY,L,BOJ Summary of Opinions,,,,
